Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
MUNICIPAL LICENSING & STANDARDS	5857-6	2021-07-29	2021-07-30	DECOR FRAME	101.70	CAD	101.70	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	MS1000	OFF. OF THE EXECUTIVE DIRECTOR	5971	Art Dealers and Galleries	RETIREE CERTIFICATE AND BADGE FRAMING
					101.70	CAD	101.70	CAD							
"PARKS, FORESTRY & RECREATION"	5838-2	2021-07-05	2021-07-06	DOLLARAMA # 780	36.84	CAD	36.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05111	OLYMPIUM-SUMMER CAMPS	5310	Discount Stores	ZIPLOCK BAGS
					36.84	CAD	36.84	CAD							
FACILITIES MANAGEMENT	5838-3	2021-07-05	2021-07-06	LOCK-UP SERVICES	264.85	CAD	264.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707012	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7299	Other Services (Not Elsewhere Classified	DRILL OUT LOCK INSTALL NEW CYLINDER SUPPLY KEY TO CORPORATE SECURITY
FACILITIES MANAGEMENT	5838-4	2021-07-05	2021-07-06	LOCK-UP SERVICES	245.78	CAD	245.78	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61704059	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7299	Other Services (Not Elsewhere Classified	SERVICE AUTOMATIC OPERATOR
FACILITIES MANAGEMENT	5838-5	2021-07-05	2021-07-06	LOCK-UP SERVICES	257.79	CAD	257.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61706816	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7299	Other Services (Not Elsewhere Classified	LARGE GLASS DOOR ADJUSTMENT NEEDED
FACILITIES MANAGEMENT	5838-6	2021-07-05	2021-07-06	LOCK-UP SERVICES	122.89	CAD	122.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707546	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7299	Other Services (Not Elsewhere Classified	CARD READER DOOR JAMMING
FACILITIES MANAGEMENT	5839-3	2021-07-06	2021-07-07	APPLEBY LOCK	542.40	CAD	542.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61696499	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	NEW INTERIOR DOOR
FACILITIES MANAGEMENT	5839-4	2021-07-06	2021-07-07	APPLEBY LOCK	45.20	CAD	45.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707511	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	KEYS
FACILITIES MANAGEMENT	5839-5	2021-07-06	2021-07-07	APPLEBY LOCK	"1,519.85"	CAD	"1,519.85"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61686652	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	REKEY BUILDING
